route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
701774,37926,209,Circular Saúde Havaí,,3,,012841,FFFFFF
954089,37926,407,Califórnia/Glória via Centro de Saúde Califórnia,,3,,012841,FFFFFF
987722,37926,343,Vila Ecológica / Independência - Via Centro de Saúde,,3,,012841,FFFFFF
989341,37926,10,Madrugão / Circular Noturno,,3,,bed000,000000
562422,39102,S20,Palmeiras / Serra,,3,,EFB12D,000000
562423,39102,S70,Conjunto Felicidade / Shopping Del Rey,,3,,EFB12D,000000
562424,39102,S54,Dom Bosco / Shopping Del Rey,,3,,EFB12D,000000
562425,39102,S56,São José/Vilarinho,,3,,EFB12D,000000
562426,39102,S64,Campo Alegre/Céu Azul Via Venda Nova,Principal,3,,EFB12D,000000
562427,39102,S61,Mantiqueira / Estação Vilarinho,,3,,EFB12D,000000
562429,39102,S53,Confisco / Ouro Minas,,3,,EFB12D,000000
562433,39102,S65,São Bernardo / Minas Caixa,,3,,EFB12D,000000
562434,39102,S92,Esplanada/Buritis,,3,,EFB12D,000000
562435,39102,S31,Petrópolis / Barreiro,,3,,EFB12D,000000
562436,39102,S55,Santa Monica / Minas Shopping,,3,,EFB12D,000000
562437,39102,S10,BH Shopping / São Francisco,,3,,EFB12D,000000
562438,39102,S41,Conjunto Califórnia / Prado,,3,,EFB12D,000000
562439,39102,S21,Dom Cabral / BH Shopping,,3,,EFB12D,000000
562440,39102,S66,Tupi / Europa,,3,,EFB12D,000000
562441,39102,S32,Itaipu / Cardoso,,3,,EFB12D,000000
562442,39102,S22,Buritis / Metrô Calafate,,3,,EFB12D,000000
562443,39102,S19,Hospital Evangélico/Shopping Boulevard,,3,,EFB12D,000000
562444,39102,S80,Jardim Vitória / Estação Vila Oeste,,3,,EFB12D,000000
562445,39102,S85,Minas Shopping / Santa Ines,,3,,EFB12D,000000
562448,39102,S33,Lindéia / Milionários,,3,,EFB12D,000000
562451,39102,S60,Etelvina Carneiro/Jardim Leblon Via Venda Nova,,3,,EFB12D,000000
562453,39102,S63,Campo Alegre/Céu Azul Via Rio Branco,,3,,EFB12D,000000
637901,39102,S84,São Gabriel / Floresta - Via Hospital Belo Horizonte,,3,,efb12d,000000
