stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
14784363,,Rua Jose De Lara Resende 228,,-19.78303202,-43.98319901,,,0,,,0,
14784365,,Rua Padre Belchior 301,,-19.92311604,-43.94154226,,,0,,,0,
14784366,,Rua Rio Comprido 72,,-19.80660942,-43.99472575,,,0,,,0,
14784367,,Rua Intersindical 321,,-20.00161126,-44.00193867,,,0,,,0,
14784368,,Rua Rio Comprido 75,,-19.80652773,-43.99477199,,,0,,,0,
14784369,,Rua Gustavo Da Silveira 362,,-19.90176849,-43.91283187,,,0,,,0,
14784370,,Rua Cesar Salles Barbosa 160,,-19.79851738,-43.97742739,,,0,,,0,
14784371,,Rua Eutalia Engracia De Almeida 346,,-19.83277918,-43.91784965,,,0,,,0,
14784373,,Rua Hoffman 654,,-19.99250939,-44.01344916,,,0,,,0,
14784374,,Rua Sao Sebastiao 29,,-19.85353496,-43.92922016,,,0,,,0,
14784375,,Avenida Teresa Cristina 147,,-19.95328861,-44.00827964,,,0,,,0,
14784376,,Rua Flamengo 170,,-19.99684925,-44.00015248,,,0,,,0,
14784377,,Rua Vinte E Oito De Setembro 1439,,-19.91162141,-43.90532345,,,0,,,0,
14784378,,Rua Dos Mescarelos 115,,-19.82733475,-43.98048049,,,0,,,0,
14784379,,Rua Candida Maria Da Silva 342,,-19.78766712,-43.98875965,,,0,,,0,
14784380,,Rua Jose Gomes Domingues 2335,,-19.80230215,-43.94680837,,,0,,,0,
14784381,,Rua Dos Mescarelos 116,,-19.82739688,-43.98044162,,,0,,,0,
14784382,,Rua Cacilda Becker 125,,-19.8358931,-43.91863599,,,0,,,0,
14784383,,Avenida Antonio Abrahao Caram 1000,,-19.86363058,-43.97274289,,,0,,,0,
14784384,,Avenida Waldyr Soeiro Emrich 71,,-19.97007586,-43.99555968,,,0,,,0,
